hyp_loss_function,hyp_hidden_layer_count,hyp_units_per_hidden_layer,hyp_activation_per_hidden_layer,hyp_optimizer,hyp_epochs,hyp_batch_size,hyp_feature_count,hyp_class_count,obj_total_layers,obj_total_nodes,obj_training_time,obj_loss,obj_accuracy,obj_false_positive_rate,obj_false_negative_rate,obj_true_positive_rate,obj_true_negative_rate,obj_f1,obj_precision,obj_auc
cosine_similarity,1,[45],['relu'],rmsprop,20,64,30,2,3,77,0.4627969264984131,-0.6666666865348816,0.8508771929824561,0.3684210526315789,0.039473684210526314,0.9605263157894737,0.631578947368421,0.5120240480961924,0.8390804597701149,0.8659972299168974
binary_focal_crossentropy,10,"[63, 17, 100, 36, 17, 36, 85, 53, 96, 38]","['relu', 'sigmoid', 'relu', 'relu', 'relu', 'sigmoid', 'tanh', 'tanh', 'sigmoid', 'relu']",rmsprop,8,16,30,2,12,573,0.654088020324707,0.011361464858055115,0.9824561403508771,0.02631578947368421,0.013157894736842105,0.9868421052631579,0.9736842105263158,0.05126452494873548,0.9868421052631579,0.9996537396121884
binary_focal_crossentropy,11,"[63, 17, 100, 36, 17, 49, 36, 85, 53, 59, 11]","['relu', 'sigmoid', 'relu', 'relu', 'relu', 'relu', 'sigmoid', 'tanh', 'tanh', 'sigmoid', 'relu']",rmsprop,8,16,30,2,13,558,0.7040209770202637,0.1617417186498642,0.6666666666666666,1.0,0.0,1.0,0.0,0.8,0.6666666666666666,0.9558518005540165
cosine_similarity,7,"[82, 101, 75, 124, 100, 17, 128]","['tanh', 'sigmoid', 'relu', 'tanh', 'tanh', 'tanh', 'tanh']",rmsprop,11,64,30,2,9,659,0.5178420543670654,-0.6666666865348816,0.6403508771929824,1.0,0.039473684210526314,0.9605263157894737,0.0,0.7934782608695653,0.6576576576576577,0.41793628808864264
cosine_similarity,11,"[63, 17, 100, 36, 17, 49, 36, 85, 53, 59, 38]","['relu', 'sigmoid', 'relu', 'relu', 'relu', 'relu', 'sigmoid', 'tanh', 'tanh', 'sigmoid', 'relu']",sgd,8,16,30,2,13,585,0.3094940185546875,-0.6666666865348816,0.3333333333333333,0.0,1.0,0.0,1.0,0.0,0.0,0.16066481994459833
cosine_similarity,6,"[82, 101, 75, 124, 17, 128]","['tanh', 'sigmoid', 'relu', 'tanh', 'tanh', 'tanh']",rmsprop,11,64,30,2,8,559,0.49036693572998047,-0.6666666865348816,0.3333333333333333,0.0,1.0,0.0,1.0,0.0,0.0,0.3538781163434903
binary_crossentropy,11,"[63, 17, 100, 36, 17, 49, 36, 85, 53, 59, 101]","['relu', 'sigmoid', 'relu', 'relu', 'relu', 'relu', 'sigmoid', 'tanh', 'tanh', 'sigmoid', 'relu']",rmsprop,8,16,30,2,13,648,0.6603729724884033,0.057459305971860886,0.9824561403508771,0.0,0.02631578947368421,0.9736842105263158,1.0,0.0,1.0,0.9993074792243768
cosine_similarity,10,"[30, 85, 117, 64, 126, 109, 105, 35, 57, 77]","['relu', 'sigmoid', 'sigmoid', 'sigmoid', 'relu', 'tanh', 'tanh', 'tanh', 'sigmoid', 'sigmoid']",adam,15,32,30,2,12,837,1.048462152481079,-0.6666666865348816,0.3333333333333333,0.0,1.0,0.0,1.0,0.0,0.0,0.953601108033241
binary_focal_crossentropy,12,"[63, 17, 100, 36, 17, 49, 36, 85, 53, 59, 38, 46]","['relu', 'sigmoid', 'relu', 'relu', 'relu', 'relu', 'sigmoid', 'tanh', 'tanh', 'sigmoid', 'relu', 'sigmoid']",rmsprop,8,16,30,2,14,631,0.7223739624023438,0.16332490742206573,0.6666666666666666,1.0,0.0,1.0,0.0,0.8,0.6666666666666666,0.8609764542936289
binary_focal_crossentropy,10,"[63, 17, 100, 36, 17, 49, 36, 85, 59, 11]","['relu', 'sigmoid', 'relu', 'relu', 'relu', 'relu', 'sigmoid', 'tanh', 'sigmoid', 'relu']",rmsprop,8,16,30,2,12,505,0.9803221225738525,0.03067389689385891,0.9736842105263158,0.02631578947368421,0.02631578947368421,0.9736842105263158,0.9736842105263158,0.051264288188430894,0.9866666666666667,0.9979224376731302
binary_crossentropy,13,"[63, 17, 100, 36, 17, 49, 36, 85, 53, 96, 38, 33, 25]","['relu', 'sigmoid', 'relu', 'relu', 'relu', 'relu', 'sigmoid', 'tanh', 'tanh', 'sigmoid', 'relu', 'tanh', 'tanh']",sgd,8,16,30,2,15,680,0.3416917324066162,0.6442344188690186,0.6666666666666666,1.0,0.0,1.0,0.0,0.8,0.6666666666666666,0.4560249307479224
cosine_similarity,10,"[30, 85, 109, 64, 126, 105, 35, 87, 77, 73]","['relu', 'sigmoid', 'sigmoid', 'sigmoid', 'relu', 'tanh', 'tanh', 'sigmoid', 'sigmoid', 'tanh']",adam,15,128,30,2,12,823,0.9462277889251709,-0.6666666865348816,0.3333333333333333,0.0,1.0,0.0,1.0,0.0,0.0,0.4899584487534626
cosine_similarity,10,"[30, 85, 117, 64, 126, 109, 105, 35, 57, 77]","['relu', 'sigmoid', 'sigmoid', 'sigmoid', 'relu', 'tanh', 'tanh', 'tanh', 'sigmoid', 'sigmoid']",adam,5,128,30,2,12,837,0.7812089920043945,-0.6666666865348816,0.6666666666666666,1.0,0.0,1.0,0.0,0.8,0.6666666666666666,0.13971606648199447
cosine_similarity,1,[45],['relu'],rmsprop,20,64,30,2,3,77,0.4627969264984131,-0.6666666865348816,0.8508771929824561,0.3684210526315789,0.039473684210526314,0.9605263157894737,0.631578947368421,0.5120240480961924,0.8390804597701149,0.8659972299168974
cosine_similarity,9,"[30, 85, 109, 64, 126, 105, 35, 57, 58]","['relu', 'sigmoid', 'sigmoid', 'sigmoid', 'relu', 'tanh', 'tanh', 'sigmoid', 'sigmoid']",sgd,15,32,30,2,11,701,0.3996708393096924,-0.6666666865348816,0.6666666666666666,1.0,0.0,1.0,0.0,0.8,0.6666666666666666,0.46260387811634346
cosine_similarity,10,"[118, 126, 83, 38, 67, 96, 68, 100, 103, 53]","['tanh', 'tanh', 'tanh', 'tanh', 'tanh', 'tanh', 'relu', 'sigmoid', 'relu', 'relu']",rmsprop,17,32,30,2,12,884,0.7709660530090332,-0.6666666865348816,0.3333333333333333,0.0,1.0,0.0,1.0,0.0,0.0,0.26038781163434904
cosine_similarity,11,"[63, 17, 100, 36, 17, 49, 36, 85, 53, 59, 38]","['relu', 'sigmoid', 'relu', 'relu', 'relu', 'relu', 'sigmoid', 'sigmoid', 'tanh', 'sigmoid', 'relu']",sgd,8,16,30,2,13,585,0.30950284004211426,-0.6666666865348816,0.3333333333333333,0.0,1.0,0.0,1.0,0.0,0.0,0.7479224376731303
cosine_similarity,9,"[30, 85, 109, 64, 126, 73, 35, 57, 77]","['relu', 'sigmoid', 'sigmoid', 'sigmoid', 'relu', 'tanh', 'tanh', 'sigmoid', 'sigmoid']",sgd,15,128,30,2,11,688,0.3497588634490967,-0.6666666865348816,0.3333333333333333,0.0,1.0,0.0,1.0,0.0,0.0,0.7406509695290858
binary_crossentropy,3,"[32, 81, 53]","['relu', 'relu', 'relu']",rmsprop,7,128,30,2,5,198,0.31085205078125,0.14250189065933228,0.9473684210526315,0.10526315789473684,0.02631578947368421,0.9736842105263158,0.8947368421052632,0.1895006402048655,0.9487179487179487,0.9920360110803323
binary_crossentropy,11,"[63, 17, 100, 36, 17, 39, 36, 85, 53, 96, 38]","['relu', 'sigmoid', 'relu', 'relu', 'relu', 'relu', 'sigmoid', 'tanh', 'tanh', 'sigmoid', 'relu']",sgd,8,32,30,2,13,612,0.29021406173706055,0.6401163339614868,0.6666666666666666,1.0,0.0,1.0,0.0,0.8,0.6666666666666666,0.7993421052631579
binary_focal_crossentropy,10,"[63, 17, 100, 36, 17, 36, 85, 53, 96, 38]","['relu', 'sigmoid', 'relu', 'relu', 'relu', 'sigmoid', 'tanh', 'tanh', 'sigmoid', 'relu']",rmsprop,8,32,30,2,12,573,0.6200697422027588,0.02589789405465126,0.9649122807017544,0.02631578947368421,0.039473684210526314,0.9605263157894737,0.9736842105263158,0.051264044943820225,0.9864864864864865,0.9975761772853186
cosine_similarity,10,"[118, 126, 83, 103, 67, 96, 68, 100, 103, 53]","['tanh', 'tanh', 'tanh', 'tanh', 'tanh', 'tanh', 'tanh', 'sigmoid', 'relu', 'relu']",rmsprop,19,16,30,2,12,949,0.9298892021179199,-0.6666666865348816,0.6754385964912281,0.9736842105263158,0.0,1.0,0.02631578947368421,0.7955863629933513,0.672566371681416,0.9120498614958449
